/usr/bin/ld.gold
    Finished `release` profile [optimized] target(s) in 2.37s
Persistent signature found in 'hfuzz_target/x86_64-unknown-linux-gnu/release/token-swap-instructions'. Enabling persistent fuzzing mode
Start time:'2026-08-18.07.06.47' bin:'hfuzz_target/x86_64-unknown-linux-gnu/release/token-swap-instructions', input:'hfuzz_workspace/token-swap-instructions/input', output:'hfuzz_workspace/token-swap-instructions/input', persistent:true, stdin:false, mutation_rate:5, timeout:1, max_runs:0, threads:4, minimize:false, git_commit:380cf14962c64e3fa902d9442b6c6513869116ed
[2J[500B[2026-08-18T07:06:47-0700][W][26072] sanitizers_AddFlag():67 The 'ASAN_OPTIONS' envar is already set. Not overriding it!
Entering phase 1/3: Dry Run
Launched new fuzzing thread, no. #0
Launched new fuzzing thread, no. #3
Launched new fuzzing thread, no. #2
Launched new fuzzing thread, no. #1
Persistent mode: Launched new persistent pid=26123
Persistent mode: Launched new persistent pid=26125
Persistent mode: Launched new persistent pid=26122
Persistent mode: Launched new persistent pid=26124
Sz:32 Tm:1,300us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/1/0/1040
Sz:32 Tm:4,702us (i/b/h/e/p/c) New:0/0/0/0/0/6, Cur:0/0/0/0/0/997
Sz:32 Tm:7,419us (i/b/h/e/p/c) New:0/0/0/2/0/2, Cur:0/0/0/2/0/1338
Sz:4 Tm:3,654us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/11/0/483
Sz:16 Tm:3,465us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/1436
Sz:53 Tm:10,169us (i/b/h/e/p/c) New:0/0/0/3/0/31, Cur:0/0/0/3/0/1484
Sz:8 Tm:6,081us (i/b/h/e/p/c) New:0/0/0/0/0/37, Cur:0/0/0/2/0/758
Sz:32 Tm:7,061us (i/b/h/e/p/c) New:0/0/0/0/0/25, Cur:0/0/0/3/0/1419
Sz:16 Tm:2,131us (i/b/h/e/p/c) New:0/0/0/6/2/793, Cur:0/0/0/7/0/731
Sz:19 Tm:2,083us (i/b/h/e/p/c) New:0/0/0/4/1/195, Cur:0/0/0/4/0/714
Sz:8 Tm:1,605us (i/b/h/e/p/c) New:0/0/0/0/0/6, Cur:0/0/0/0/0/746
Sz:16 Tm:1,352us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/48/0/605
Sz:32 Tm:1,255us (i/b/h/e/p/c) New:0/0/0/1/0/51, Cur:0/0/0/16/0/932
Sz:58 Tm:1,771us (i/b/h/e/p/c) New:0/0/0/0/0/7, Cur:0/0/0/7/0/947
Sz:4 Tm:1,640us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/505
Sz:8 Tm:1,811us (i/b/h/e/p/c) New:0/0/0/0/0/8, Cur:0/0/0/0/0/667
Sz:45 Tm:26,778us (i/b/h/e/p/c) New:0/0/0/10/2/127, Cur:0/0/0/10/0/1340
Sz:16 Tm:2,123us (i/b/h/e/p/c) New:0/0/0/0/0/25, Cur:0/0/0/0/0/650
Sz:32 Tm:4,283us (i/b/h/e/p/c) New:0/0/0/0/0/37, Cur:0/0/0/0/0/860
Sz:64 Tm:3,449us (i/b/h/e/p/c) New:0/0/0/2/2/22, Cur:0/0/0/14/0/1081
Sz:64 Tm:5,089us (i/b/h/e/p/c) New:0/0/0/0/0/16, Cur:0/0/0/0/0/1080
Sz:4 Tm:1,140us (i/b/h/e/p/c) New:0/0/0/0/0/6, Cur:0/0/0/0/0/386
Sz:101 Tm:12,800us (i/b/h/e/p/c) New:0/0/0/0/0/10, Cur:0/0/0/0/0/1335
Sz:32 Tm:8,343us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/4/0/1049
Sz:8 Tm:3,727us (i/b/h/e/p/c) New:0/0/0/0/0/8, Cur:0/0/0/0/0/569
Sz:16 Tm:1,026us (i/b/h/e/p/c) New:0/0/0/0/0/18, Cur:0/0/0/2/0/537
Sz:32 Tm:7,129us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/0/0/507
Sz:64 Tm:2,576us (i/b/h/e/p/c) New:0/0/0/1/0/4, Cur:0/0/0/6/0/548
Sz:8 Tm:12,331us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/849
Sz:128 Tm:3,981us (i/b/h/e/p/c) New:0/0/0/12/0/614, Cur:0/0/0/25/0/891
Sz:22 Tm:2,119us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/0/0/843
Sz:140 Tm:3,030us (i/b/h/e/p/c) New:0/0/0/3/2/210, Cur:0/0/0/9/0/877
Sz:4 Tm:912us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/283
Sz:62 Tm:2,168us (i/b/h/e/p/c) New:0/0/0/0/0/19, Cur:0/0/0/1/0/973
Sz:64 Tm:2,409us (i/b/h/e/p/c) New:0/0/0/0/0/24, Cur:0/0/0/1/0/1159
Sz:16 Tm:1,068us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/275
Sz:86 Tm:2,485us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/1086
Sz:32 Tm:2,151us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/272
Sz:16 Tm:1,978us (i/b/h/e/p/c) New:0/0/0/0/0/5, Cur:0/0/0/24/0/661
Sz:4 Tm:3,571us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/273
Sz:32 Tm:2,114us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/917
Sz:8 Tm:1,719us (i/b/h/e/p/c) New:0/0/0/0/0/43, Cur:0/0/0/0/0/424
Sz:64 Tm:2,039us (i/b/h/e/p/c) New:0/0/0/13/2/138, Cur:0/0/0/22/0/1070
Sz:93 Tm:1,787us (i/b/h/e/p/c) New:0/0/0/2/0/8, Cur:0/0/0/3/0/1240
Sz:16 Tm:2,252us (i/b/h/e/p/c) New:0/0/0/0/0/241, Cur:0/0/0/3/0/448
Sz:32 Tm:1,614us (i/b/h/e/p/c) New:0/0/0/0/0/13, Cur:0/0/0/0/0/560
Sz:60 Tm:1,806us (i/b/h/e/p/c) New:0/0/0/1/0/13, Cur:0/0/0/1/0/662
Sz:16 Tm:1,787us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/3/0/596
Sz:32 Tm:1,486us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/571
Sz:8 Tm:1,568us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/407
Sz:41 Tm:1,960us (i/b/h/e/p/c) New:0/0/0/0/0/28, Cur:0/0/0/0/0/752
Sz:32 Tm:2,100us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/2/0/380
Sz:46 Tm:7,180us (i/b/h/e/p/c) New:0/0/0/0/0/8, Cur:0/0/0/0/0/443
Sz:64 Tm:32,328us (i/b/h/e/p/c) New:0/0/0/0/0/20, Cur:0/0/0/10/0/1120
Sz:16 Tm:8,326us (i/b/h/e/p/c) New:0/0/0/1/1/2, Cur:0/0/0/30/0/593
Sz:8 Tm:3,838us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/0/0/407
Sz:128 Tm:4,570us (i/b/h/e/p/c) New:0/0/0/0/0/6, Cur:0/0/0/9/0/1372
Sz:16 Tm:2,204us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/1/0/386
Sz:219 Tm:2,791us (i/b/h/e/p/c) New:0/0/0/0/0/10, Cur:0/0/0/0/0/1283
Sz:32 Tm:1,609us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/2/0/381
Sz:16 Tm:5,176us (i/b/h/e/p/c) New:0/0/0/1/0/12, Cur:0/0/0/4/0/791
Sz:64 Tm:2,620us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/518
Sz:76 Tm:1,090us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/501
Sz:64 Tm:1,388us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/383
Sz:4 Tm:1,293us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/296
Sz:62 Tm:2,416us (i/b/h/e/p/c) New:0/0/0/0/0/10, Cur:0/0/0/0/0/1068
Sz:8 Tm:1,558us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/0/0/390
Sz:62 Tm:18,355us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/13/0/999
Sz:16 Tm:22,727us (i/b/h/e/p/c) New:0/0/0/0/0/6, Cur:0/0/0/0/0/340
Sz:4 Tm:11,063us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/496
